name,mimetype,group1,group2
application/vnd.wmc,application/vnd.wmc,other,
application/vnd.wmf.bootstrap,application/vnd.wmf.bootstrap,other,
application/vnd.wolfram.mathematica,application/vnd.wolfram.mathematica,other,
application/vnd.wolfram.mathematica.package,application/vnd.wolfram.mathematica.package,other,
application/vnd.wolfram.player,application/vnd.wolfram.player,other,
application/vnd.wordperfect,application/vnd.wordperfect,other,
application/vnd.wqd,application/vnd.wqd,other,
application/vnd.wrq-hp3000-labelled,application/vnd.wrq-hp3000-labelled,other,
application/vnd.wt.stf,application/vnd.wt.stf,other,
application/vnd.wv.csp+wbxml,application/vnd.wv.csp+wbxml,other,
application/vnd.wv.csp+xml,application/vnd.wv.csp+xml,structureddata,
application/vnd.wv.ssp+xml,application/vnd.wv.ssp+xml,structureddata,
application/vnd.xacml+json,application/vnd.xacml+json,structureddata,
application/vnd.xara,application/vnd.xara,other,
application/vnd.xfdl,application/vnd.xfdl,other,
application/vnd.xfdl.webform,application/vnd.xfdl.webform,other,
application/vnd.xmi+xml,application/vnd.xmi+xml,structureddata,
application/vnd.xmpie.cpkg,application/vnd.xmpie.cpkg,other,
application/vnd.xmpie.dpkg,application/vnd.xmpie.dpkg,other,
application/vnd.xmpie.plan,application/vnd.xmpie.plan,other,
application/vnd.xmpie.ppkg,application/vnd.xmpie.ppkg,other,
application/vnd.xmpie.xlim,application/vnd.xmpie.xlim,other,
application/vnd.yamaha.hv-dic,application/vnd.yamaha.hv-dic,other,
application/vnd.yamaha.hv-script,application/vnd.yamaha.hv-script,other,
application/vnd.yamaha.hv-voice,application/vnd.yamaha.hv-voice,other,
application/vnd.yamaha.openscoreformat,application/vnd.yamaha.openscoreformat,other,
application/vnd.yamaha.openscoreformat.osfpvg+xml,application/vnd.yamaha.openscoreformat.osfpvg+xml,structureddata,
application/vnd.yamaha.remote-setup,application/vnd.yamaha.remote-setup,other,
application/vnd.yamaha.smaf-audio,application/vnd.yamaha.smaf-audio,other,
application/vnd.yamaha.smaf-phrase,application/vnd.yamaha.smaf-phrase,other,
application/vnd.yamaha.through-ngn,application/vnd.yamaha.through-ngn,other,
application/vnd.yamaha.tunnel-udpencap,application/vnd.yamaha.tunnel-udpencap,other,
application/vnd.yaoweme,application/vnd.yaoweme,other,
application/vnd.yellowriver-custom-menu,application/vnd.yellowriver-custom-menu,other,
application/vnd.zul,application/vnd.zul,other,
application/vnd.zzazz.deck+xml,application/vnd.zzazz.deck+xml,structureddata,
application/voicexml+xml,application/voicexml+xml,structureddata,
application/vq-rtcpxr,application/vq-rtcpxr,other,
application/vwg-multiplexed,application/vwg-multiplexed,other,
application/watcherinfo+xml,application/watcherinfo+xml,structureddata,
application/whoispp-query,application/whoispp-query,other,
application/whoispp-response,application/whoispp-response,other,
application/winhlp,application/winhlp,other,
application/wita,application/wita,other,
application/wordperfect5.1,application/wordperfect5.1,other,
application/wsdl+xml,application/wsdl+xml,structureddata,
application/wspolicy+xml,application/wspolicy+xml,structureddata,
application/x-123,application/x-123,spreadsheet,
application/x-7z-compressed,application/x-7z-compressed,archive,
application/x-abiword,application/x-abiword,other,
application/x-ace-compressed,application/x-ace-compressed,other,
application/x-adobe-indesign,application/x-adobe-indesign,other,
application/x-adobe-indesign-interchange,application/x-adobe-indesign-interchange,other,
application/x-apple-diskimage,application/x-apple-diskimage,other,
application/x-appleworks,application/x-appleworks,other,
application/x-archive,application/x-archive,bundle,
application/x-arj,application/x-arj,other,
application/x-authorware-bin,application/x-authorware-bin,other,
application/x-authorware-map,application/x-authorware-map,other,
application/x-authorware-seg,application/x-authorware-seg,other,
application/x-bcpio,application/x-bcpio,other,
application/x-berkeley-db,application/x-berkeley-db,other,
application/x-bibtex-text-file,application/x-bibtex-text-file,structureddata,
application/x-bittorrent,application/x-bittorrent,other,
application/x-bplist,application/x-bplist,other,
application/x-bzip,application/x-bzip,bundle,
application/x-bzip2,application/x-bzip2,bundle,
application/x-cdlink,application/x-cdlink,other,
application/x-chat,application/x-chat,other,
application/x-chess-pgn,application/x-chess-pgn,other,
application/x-chrome-package,application/x-chrome-package,other,
application/x-coredump,application/x-coredump,other,
application/x-corelpresentations,application/x-corelpresentations,other,
application/x-cpio,application/x-cpio,other,
application/x-csh,application/x-csh,program,
application/x-debian-package,application/x-debian-package,other,
application/x-dex,application/x-dex,other,
application/x-director,application/x-director,other,
application/x-doom,application/x-doom,other,
application/x-dtbncx+xml,application/x-dtbncx+xml,structureddata,
application/x-dtbook+xml,application/x-dtbook+xml,structureddata,
application/x-dtbresource+xml,application/x-dtbresource+xml,structureddata,
application/x-dvi,application/x-dvi,other,
application/x-elc,application/x-elc,other,
application/x-elf,application/x-elf,other,
application/x-emf,application/x-emf,other,
application/x-executable,application/x-executable,program,
application/x-fictionbook+xml,application/x-fictionbook+xml,program,
application/x-filemaker,application/x-filemaker,other,
application/x-font-adobe-metric,application/x-font-adobe-metric,other,
application/x-font-bdf,application/x-font-bdf,other,
application/x-font-dos,application/x-font-dos,other,
application/x-font-framemaker,application/x-font-framemaker,other,
application/x-font-ghostscript,application/x-font-ghostscript,other,
application/x-font-libgrx,application/x-font-libgrx,other,
application/x-font-linux-psf,application/x-font-linux-psf,other,
application/x-font-otf,application/x-font-otf,other,
application/x-font-pcf,application/x-font-pcf,other,
application/x-font-printer-metric,application/x-font-printer-metric,other,
application/x-font-snf,application/x-font-snf,other,
application/x-font-speedo,application/x-font-speedo,other,
application/x-font-sunos-news,application/x-font-sunos-news,other,
application/x-font-ttf,application/x-font-ttf,other,
application/x-font-type1,application/x-font-type1,other,
application/x-font-vfont,application/x-font-vfont,other,
application/x-foxmail,application/x-foxmail,other,
application/x-futuresplash,application/x-futuresplash,other,
application/x-gnucash,application/x-gnucash,other,
application/x-gnumeric,application/x-gnumeric,other,
application/x-hdf,application/x-hdf,other,
application/x-hwp,application/x-hwp,other,
application/x-ibooks+zip,application/x-ibooks+zip,bundle,
application/x-iso9660-image,application/x-iso9660-image,image,
application/x-itunes-ipa,application/x-itunes-ipa,other,
application/x-java-jnilib,application/x-java-jnilib,other,
application/x-java-jnlp-file,application/x-java-jnlp-file,other,
application/x-java-pack200,application/x-java-pack200,other,
application/x-kdelnk,application/x-kdelnk,other,
application/x-killustrator,application/x-killustrator,other,
application/x-lha,application/x-lha,other,
application/x-lharc,application/x-lharc,other,
application/x-matroska,application/x-matroska,other,
application/x-mif,application/x-mif,other,
application/x-mobipocket-ebook,application/x-mobipocket-ebook,other,
application/x-ms-application,application/x-ms-application,other,
application/x-ms-wmd,application/x-ms-wmd,other,
application/x-ms-wmz,application/x-ms-wmz,other,
application/x-ms-xbap,application/x-ms-xbap,other,
application/x-msaccess,application/x-msaccess,other,
application/x-msbinder,application/x-msbinder,other,
application/x-mscardfile,application/x-mscardfile,other,
application/x-msclip,application/x-msclip,other,
application/x-msdownload,application/x-msdownload,executable,
application/x-msdownload;format=pe,application/x-msdownload;format=pe,executable,
application/x-msdownload;format=pe-arm7,application/x-msdownload;format=pe-arm7,executable,
application/x-msdownload;format=pe-armLE,application/x-msdownload;format=pe-armLE,executable,
application/x-msdownload;format=pe-itanium,application/x-msdownload;format=pe-itanium,executable,
application/x-msdownload;format=pe32,application/x-msdownload;format=pe32,executable,
application/x-msdownload;format=pe64,application/x-msdownload;format=pe64,executable,
application/x-msmediaview,application/x-msmediaview,other,
application/x-msmetafile,application/x-msmetafile,other,
application/x-msmoney,application/x-msmoney,other,
application/x-mspublisher,application/x-mspublisher,other,
application/x-msschedule,application/x-msschedule,other,
application/x-msterminal,application/x-msterminal,other,
application/x-mswrite,application/x-mswrite,document,
application/x-netcdf,application/x-netcdf,other,
application/x-object,application/x-object,other,
application/x-pkcs12,application/x-pkcs12,other,
application/x-pkcs7-certificates,application/x-pkcs7-certificates,other,
application/x-pkcs7-certreqresp,application/x-pkcs7-certreqresp,other,
application/x-project,application/x-project,other,
application/x-prt,application/x-prt,other,
application/x-quattro-pro,application/x-quattro-pro,other,
application/x-roxio-toast,application/x-roxio-toast,other,
application/x-rpm,application/x-rpm,other,
application/x-sas,application/x-sas,other,
application/x-sas-access,application/x-sas-access,other,
application/x-sas-audit,application/x-sas-audit,other,
application/x-sas-backup,application/x-sas-backup,other,
application/x-sas-catalog,application/x-sas-catalog,other,
application/x-sas-data,application/x-sas-data,other,
application/x-sas-data-index,application/x-sas-data-index,other,
application/x-sas-dmdb,application/x-sas-dmdb,other,
application/x-sas-fdb,application/x-sas-fdb,other,
application/x-sas-itemstor,application/x-sas-itemstor,other,
application/x-sas-mddb,application/x-sas-mddb,other,
application/x-sas-program-data,application/x-sas-program-data,other,
application/x-sas-putility,application/x-sas-putility,other,
application/x-sas-transport,application/x-sas-transport,other,
application/x-sas-utility,application/x-sas-utility,other,
application/x-sas-view,application/x-sas-view,other,
application/x-sc,application/x-sc,other,
application/x-shar,application/x-shar,other,
application/x-sharedlib,application/x-sharedlib,other,
application/x-silverlight-app,application/x-silverlight-app,other,
application/x-staroffice-template,application/x-staroffice-template,other,
application/x-stuffit,application/x-stuffit,other,
application/x-stuffitx,application/x-stuffitx,other,
application/x-sv4cpio,application/x-sv4cpio,other,
application/x-sv4crc,application/x-sv4crc,other,
application/x-tcl,application/x-tcl,other,
application/x-tex-tfm,application/x-tex-tfm,other,
application/x-tika-iworks-protected,application/x-tika-iworks-protected,other,
application/x-tika-java-enterprise-archive,application/x-tika-java-enterprise-archive,other,
application/x-tika-java-web-archive,application/x-tika-java-web-archive,other,
application/x-tika-msoffice,application/x-tika-msoffice,other,
application/x-tika-msoffice-embedded,application/x-tika-msoffice-embedded,other,
application/x-tika-msoffice-embedded;format=comp_obj,application/x-tika-msoffice-embedded;format=comp_obj,other,
application/x-tika-msoffice-embedded;format=ole10_native,application/x-tika-msoffice-embedded;format=ole10_native,other,
application/x-tika-msworks-spreadsheet,application/x-tika-msworks-spreadsheet,other,
application/x-tika-ooxml,application/x-tika-ooxml,other,
application/x-tika-ooxml-protected,application/x-tika-ooxml-protected,other,
application/x-tika-unix-dump,application/x-tika-unix-dump,other,
application/x-troff,application/x-troff,other,
application/x-troff-me,application/x-troff-me,other,
application/x-troff-mes,application/x-troff-mes,other,
application/x-uc2-compressed,application/x-uc2-compressed,other,
application/x-ustar,application/x-ustar,other,
application/x-vmdk,application/x-vmdk,other,
application/x-wais-source,application/x-wais-source,other,
application/x-webarchive,application/x-webarchive,other,
application/x-www-form-urlencoded,application/x-www-form-urlencoded,other,
application/x-x509-ca-cert,application/x-x509-ca-cert,other,
application/x-xfig,application/x-xfig,other,
application/x-xmind,application/x-xmind,other,
application/x-xpinstall,application/x-xpinstall,other,
application/x-xz,application/x-xz,other,
application/x-zoo,application/x-zoo,other,
application/x400-bp,application/x400-bp,other,
application/xacml+xml,application/xacml+xml,structureddata,
application/xcap-att+xml,application/xcap-att+xml,structureddata,
application/xcap-caps+xml,application/xcap-caps+xml,structureddata,
application/xcap-diff+xml,application/xcap-diff+xml,structureddata,
application/xcap-el+xml,application/xcap-el+xml,structureddata,
application/xcap-error+xml,application/xcap-error+xml,structureddata,
application/xcap-ns+xml,application/xcap-ns+xml,structureddata,
application/xcon-conference-info+xml,application/xcon-conference-info+xml,structureddata,
application/xcon-conference-info-diff+xml,application/xcon-conference-info-diff+xml,structureddata,
application/xenc+xml,application/xenc+xml,structureddata,
application/xhtml-voice+xml,application/xhtml-voice+xml,structureddata,
application/xml,application/xml,other,
application/xml-dtd,application/xml-dtd,other,
application/xml-external-parsed-entity,application/xml-external-parsed-entity,other,
application/xml-patch+xml,application/xml-patch+xml,structureddata,
application/xmpp+xml,application/xmpp+xml,structureddata,
application/xop+xml,application/xop+xml,structureddata,
application/xquery,application/xquery,other,
application/xslt+xml,application/xslt+xml,structureddata,
application/xspf+xml,application/xspf+xml,structureddata,
application/xv+xml,application/xv+xml,structureddata,
application/yang,application/yang,other,
application/yin+xml,application/yin+xml,structureddata,
application/zlib,application/zlib,other,
audio/1d-interleaved-parityfec,audio/1d-interleaved-parityfec,audio,
audio/32kadpcm,audio/32kadpcm,audio,
audio/3gpp,audio/3gpp,audio,
audio/3gpp2,audio/3gpp2,audio,
audio/ac3,audio/ac3,audio,
audio/adpcm,audio/adpcm,audio,
audio/amr,audio/amr,audio,
audio/amr-wb,audio/amr-wb,audio,
audio/amr-wb+,audio/amr-wb+,audio,
audio/aptx,audio/aptx,audio,
audio/asc,audio/asc,audio,
audio/ATRAC-ADVANCED-LOSSLESS,audio/ATRAC-ADVANCED-LOSSLESS,audio,
audio/ATRAC-X,audio/ATRAC-X,audio,
audio/ATRAC3,audio/ATRAC3,audio,
audio/bv16,audio/bv16,audio,
audio/bv32,audio/bv32,audio,
audio/clearmode,audio/clearmode,audio,
audio/cn,audio/cn,audio,
audio/dat12,audio/dat12,audio,
audio/dls,audio/dls,audio,
audio/dsr-es201108,audio/dsr-es201108,audio,
audio/dsr-es202050,audio/dsr-es202050,audio,
audio/dsr-es202211,audio/dsr-es202211,audio,
audio/dsr-es202212,audio/dsr-es202212,audio,
audio/DV,audio/DV,audio,
audio/dvi4,audio/dvi4,audio,
audio/eac3,audio/eac3,audio,
audio/encaprtp,audio/encaprtp,audio,
audio/evrc,audio/evrc,audio,
audio/evrc-qcp,audio/evrc-qcp,audio,
audio/evrc0,audio/evrc0,audio,
audio/evrc1,audio/evrc1,audio,
audio/evrcb,audio/evrcb,audio,
audio/evrcb0,audio/evrcb0,audio,
audio/evrcb1,audio/evrcb1,audio,
audio/EVRCNW,audio/EVRCNW,audio,
audio/EVRCNW0,audio/EVRCNW0,audio,
audio/EVRCNW1,audio/EVRCNW1,audio,
audio/evrcwb,audio/evrcwb,audio,
audio/evrcwb0,audio/evrcwb0,audio,
audio/evrcwb1,audio/evrcwb1,audio,
audio/example,audio/example,audio,
audio/fwdred,audio/fwdred,audio,
audio/g719,audio/g719,audio,
audio/G721,audio/G721,audio,
audio/g722,audio/g722,audio,
audio/g7221,audio/g7221,audio,
audio/g723,audio/g723,audio,
audio/g726-16,audio/g726-16,audio,
audio/g726-24,audio/g726-24,audio,
audio/g726-32,audio/g726-32,audio,
audio/g726-40,audio/g726-40,audio,
audio/g728,audio/g728,audio,
audio/g729,audio/g729,audio,
audio/g7291,audio/g7291,audio,
audio/g729d,audio/g729d,audio,
audio/g729e,audio/g729e,audio,
audio/gsm,audio/gsm,audio,
audio/gsm-efr,audio/gsm-efr,audio,
audio/GSM-HR-08,audio/GSM-HR-08,audio,
audio/ilbc,audio/ilbc,audio,
audio/ip-mr_v2.5,audio/ip-mr_v2.5,audio,
audio/l16,audio/l16,audio,
audio/l20,audio/l20,audio,
audio/l24,audio/l24,audio,
audio/l8,audio/l8,audio,
audio/lpc,audio/lpc,audio,
audio/midi,audio/midi,audio,
audio/mobile-xmf,audio/mobile-xmf,audio,
audio/mp4a-latm,audio/mp4a-latm,audio,
audio/mpa,audio/mpa,audio,
audio/mpa-robust,audio/mpa-robust,audio,
audio/mpeg4-generic,audio/mpeg4-generic,audio,
audio/opus,audio/opus,audio,
audio/parityfec,audio/parityfec,audio,
audio/pcma,audio/pcma,audio,
audio/pcma-wb,audio/pcma-wb,audio,
audio/pcmu,audio/pcmu,audio,
audio/pcmu-wb,audio/pcmu-wb,audio,
audio/prs.sid,audio/prs.sid,audio,
audio/qcelp,audio/qcelp,audio,
audio/raptorfec,audio/raptorfec,audio,
audio/red,audio/red,audio,
audio/rtp-enc-aescm128,audio/rtp-enc-aescm128,audio,
audio/rtp-midi,audio/rtp-midi,audio,
audio/rtploopback,audio/rtploopback,audio,
audio/rtx,audio/rtx,audio,
audio/smv,audio/smv,audio,
audio/smv-qcp,audio/smv-qcp,audio,
audio/smv0,audio/smv0,audio,
audio/sp-midi,audio/sp-midi,audio,
audio/speex,audio/speex,audio,
audio/t140c,audio/t140c,audio,
audio/t38,audio/t38,audio,
audio/telephone-event,audio/telephone-event,audio,
audio/tone,audio/tone,audio,
audio/UEMCLIP,audio/UEMCLIP,audio,
audio/ulpfec,audio/ulpfec,audio,
audio/vdvi,audio/vdvi,audio,
audio/vmr-wb,audio/vmr-wb,audio,
audio/vnd.3gpp.iufp,audio/vnd.3gpp.iufp,audio,
audio/vnd.4sb,audio/vnd.4sb,audio,
audio/vnd.audiokoz,audio/vnd.audiokoz,audio,
audio/vnd.celp,audio/vnd.celp,audio,
audio/vnd.cisco.nse,audio/vnd.cisco.nse,audio,
audio/vnd.cmles.radio-events,audio/vnd.cmles.radio-events,audio,
audio/vnd.cns.anp1,audio/vnd.cns.anp1,audio,
audio/vnd.cns.inf1,audio/vnd.cns.inf1,audio,
audio/vnd.dece.audio,audio/vnd.dece.audio,audio,
audio/vnd.digital-winds,audio/vnd.digital-winds,audio,
audio/vnd.dlna.adts,audio/vnd.dlna.adts,audio,
audio/vnd.dolby.heaac.1,audio/vnd.dolby.heaac.1,audio,
audio/vnd.dolby.heaac.2,audio/vnd.dolby.heaac.2,audio,
audio/vnd.dolby.mlp,audio/vnd.dolby.mlp,audio,
audio/vnd.dolby.mps,audio/vnd.dolby.mps,audio,
audio/vnd.dolby.pl2,audio/vnd.dolby.pl2,audio,
audio/vnd.dolby.pl2x,audio/vnd.dolby.pl2x,audio,
audio/vnd.dolby.pl2z,audio/vnd.dolby.pl2z,audio,
audio/vnd.dolby.pulse.1,audio/vnd.dolby.pulse.1,audio,
audio/vnd.dra,audio/vnd.dra,audio,
audio/vnd.dts,audio/vnd.dts,audio,
audio/vnd.dts.hd,audio/vnd.dts.hd,audio,
audio/vnd.dvb.file,audio/vnd.dvb.file,audio,
audio/vnd.everad.plj,audio/vnd.everad.plj,audio,
audio/vnd.hns.audio,audio/vnd.hns.audio,audio,
audio/vnd.lucent.voice,audio/vnd.lucent.voice,audio,
audio/vnd.ms-playready.media.pya,audio/vnd.ms-playready.media.pya,audio,
audio/vnd.nokia.mobile-xmf,audio/vnd.nokia.mobile-xmf,audio,
audio/vnd.nortel.vbk,audio/vnd.nortel.vbk,audio,
audio/vnd.nuera.ecelp4800,audio/vnd.nuera.ecelp4800,audio,
audio/vnd.nuera.ecelp7470,audio/vnd.nuera.ecelp7470,audio,
audio/vnd.nuera.ecelp9600,audio/vnd.nuera.ecelp9600,audio,
audio/vnd.octel.sbc,audio/vnd.octel.sbc,audio,
audio/vnd.qcelp,audio/vnd.qcelp,audio,
audio/vnd.rhetorex.32kadpcm,audio/vnd.rhetorex.32kadpcm,audio,
audio/vnd.rip,audio/vnd.rip,audio,
audio/vnd.sealedmedia.softseal-mpeg,audio/vnd.sealedmedia.softseal-mpeg,audio,
audio/vnd.sealedmedia.softseal.mpeg,audio/vnd.sealedmedia.softseal.mpeg,audio,
audio/vnd.vmx.cvsd,audio/vnd.vmx.cvsd,audio,
audio/vorbis-config,audio/vorbis-config,audio,
audio/x-aac,audio/x-aac,audio,
audio/x-adbcm,audio/x-adbcm,audio,
audio/x-dec-adbcm,audio/x-dec-adbcm,audio,
audio/x-dec-basic,audio/x-dec-basic,audio,
audio/x-matroska,audio/x-matroska,audio,
audio/x-mod,audio/x-mod,audio,
audio/x-mpegurl,audio/x-mpegurl,audio,
audio/x-ms-wax,audio/x-ms-wax,audio,
audio/x-oggflac,audio/x-oggflac,audio,
audio/x-oggpcm,audio/x-oggpcm,audio,
audio/x-pn-realaudio,audio/x-pn-realaudio,audio,
audio/x-pn-realaudio-plugin,audio/x-pn-realaudio-plugin,audio,
chemical/x-cdx,chemical/x-cdx,other,
chemical/x-cif,chemical/x-cif,other,
chemical/x-cmdf,chemical/x-cmdf,other,
chemical/x-cml,chemical/x-cml,structureddata,
chemical/x-csml,chemical/x-csml,other,
chemical/x-pdb,chemical/x-pdb,other,
chemical/x-xyz,chemical/x-xyz,other,
image/example,image/example,image,
image/fits,image/fits,image,
image/g3fax,image/g3fax,image,
image/jpm,image/jpm,image,
image/jpx,image/jpx,image,
image/naplps,image/naplps,image,
image/nitf,image/nitf,image,
image/prs.btif,image/prs.btif,image,
image/prs.pti,image/prs.pti,image,
image/pwg-raster,image/pwg-raster,image,
image/t38,image/t38,image,
image/tiff-fx,image/tiff-fx,image,
image/vnd-djvu,image/vnd-djvu,image,
image/vnd-svf,image/vnd-svf,image,
image/vnd-wap-wbmp,image/vnd-wap-wbmp,image,
image/vnd.airzip.accelerator.azv,image/vnd.airzip.accelerator.azv,image,
image/vnd.cns.inf2,image/vnd.cns.inf2,image,
image/vnd.dece.graphic,image/vnd.dece.graphic,image,
image/vnd.djvu,image/vnd.djvu,image,
image/vnd.dvb.subtitle,image/vnd.dvb.subtitle,image,
image/vnd.dxf,image/vnd.dxf,image,
image/vnd.fastbidsheet,image/vnd.fastbidsheet,image,
image/vnd.fpx,image/vnd.fpx,image,
image/vnd.fst,image/vnd.fst,image,
image/vnd.fujixerox.edmics-mmr,image/vnd.fujixerox.edmics-mmr,image,
image/vnd.fujixerox.edmics-rlc,image/vnd.fujixerox.edmics-rlc,image,
image/vnd.globalgraphics.pgb,image/vnd.globalgraphics.pgb,image,
image/vnd.microsoft.icon,image/vnd.microsoft.icon,image,
image/vnd.mix,image/vnd.mix,image,
image/vnd.ms-modi,image/vnd.ms-modi,image,
image/vnd.net-fpx,image/vnd.net-fpx,image,
image/vnd.radiance,image/vnd.radiance,image,
image/vnd.sealed-png,image/vnd.sealed-png,image,
image/vnd.sealed.png,image/vnd.sealed.png,image,
image/vnd.sealedmedia.softseal-gif,image/vnd.sealedmedia.softseal-gif,image,
image/vnd.sealedmedia.softseal-jpg,image/vnd.sealedmedia.softseal-jpg,image,
image/vnd.sealedmedia.softseal.gif,image/vnd.sealedmedia.softseal.gif,image,
image/vnd.sealedmedia.softseal.jpg,image/vnd.sealedmedia.softseal.jpg,image,
image/vnd.svf,image/vnd.svf,image,
image/vnd.tencent.tap,image/vnd.tencent.tap,image,
image/vnd.valve.source.texture,image/vnd.valve.source.texture,image,
image/vnd.wap.wbmp,image/vnd.wap.wbmp,image,
image/vnd.xiff,image/vnd.xiff,image,
image/x-cmx,image/x-cmx,image,
image/x-freehand,image/x-freehand,image,
image/x-jp2-codestream,image/x-jp2-codestream,image,
image/x-jp2-container,image/x-jp2-container,image,
image/x-ms-bmp,image/x-ms-bmp,image,
image/x-niff,image/x-niff,image,
image/x-pcx,image/x-pcx,image,
image/x-pict,image/x-pict,image,
image/x-raw-casio,image/x-raw-casio,image,
image/x-raw-epson,image/x-raw-epson,image,
image/x-raw-imacon,image/x-raw-imacon,image,
image/x-raw-leaf,image/x-raw-leaf,image,
image/x-raw-logitech,image/x-raw-logitech,image,
image/x-raw-mamiya,image/x-raw-mamiya,image,
image/x-raw-phaseone,image/x-raw-phaseone,image,
image/x-raw-rawzor,image/x-raw-rawzor,image,
image/x-xcf,image/x-xcf,image,
message/cpim,message/cpim,message,
message/delivery-status,message/delivery-status,message,
message/disposition-notification,message/disposition-notification,message,
message/example,message/example,message,
message/external-body,message/external-body,message,
message/feedback-report,message/feedback-report,message,
message/global,message/global,message,
message/global-delivery-status,message/global-delivery-status,message,
message/global-disposition-notification,message/global-disposition-notification,message,
message/global-headers,message/global-headers,message,
message/http,message/http,message,
message/imdn+xml,message/imdn+xml,message,
message/news,message/news,message,
message/partial,message/partial,message,
message/s-http,message/s-http,message,
message/sip,message/sip,message,
message/sipfrag,message/sipfrag,message,
message/tracking-status,message/tracking-status,message,
message/vnd.si.simp,message/vnd.si.simp,message,
message/vnd.wfa.wsc,message/vnd.wfa.wsc,message,
message/x-emlx,message/x-emlx,message,
model/example,model/example,other,
model/iges,model/iges,other,
model/mesh,model/mesh,other,
model/vnd-dwf,model/vnd-dwf,other,
model/vnd.collada+xml,model/vnd.collada+xml,structureddata,
model/vnd.dwf,model/vnd.dwf,other,
model/vnd.flatland.3dml,model/vnd.flatland.3dml,other,
model/vnd.gdl,model/vnd.gdl,other,
model/vnd.gs-gdl,model/vnd.gs-gdl,other,
model/vnd.gs.gdl,model/vnd.gs.gdl,other,
model/vnd.gtw,model/vnd.gtw,other,
model/vnd.moml+xml,model/vnd.moml+xml,structureddata,
model/vnd.mts,model/vnd.mts,other,
model/vnd.opengex,model/vnd.opengex,other,
model/vnd.parasolid.transmit-binary,model/vnd.parasolid.transmit-binary,other,
model/vnd.parasolid.transmit-text,model/vnd.parasolid.transmit-text,structureddata,
model/vnd.parasolid.transmit.binary,model/vnd.parasolid.transmit.binary,other,
model/vnd.parasolid.transmit.text,model/vnd.parasolid.transmit.text,other,
model/vnd.valve.source.compiled-map,model/vnd.valve.source.compiled-map,other,
model/vnd.vtu,model/vnd.vtu,other,
model/vrml,model/vrml,other,
model/x3d+fastinfoset,model/x3d+fastinfoset,other,
model/x3d+xml,model/x3d+xml,structureddata,
model/x3d-vrml,model/x3d-vrml,other,
multipart/alternative,multipart/alternative,other,
multipart/appledouble,multipart/appledouble,other,
multipart/byteranges,multipart/byteranges,other,
multipart/digest,multipart/digest,other,
multipart/encrypted,multipart/encrypted,other,
multipart/example,multipart/example,other,
multipart/form-data,multipart/form-data,other,
multipart/header-set,multipart/header-set,other,
multipart/mixed,multipart/mixed,other,
multipart/parallel,multipart/parallel,other,
multipart/related,multipart/related,other,
multipart/report,multipart/report,other,
multipart/signed,multipart/signed,other,
multipart/voice-message,multipart/voice-message,message,
multipart/x-mixed-replace,multipart/x-mixed-replace,other,
text/1d-interleaved-parityfec,text/1d-interleaved-parityfec,sourcecode,
text/asp,text/asp,sourcecode,
text/aspdotnet,text/aspdotnet,sourcecode,
text/cache-manifest,text/cache-manifest,sourcecode,
text/directory,text/directory,sourcecode,
text/dns,text/dns,sourcecode,
text/ecmascript,text/ecmascript,web,
text/encaprtp,text/encaprtp,sourcecode,
text/enriched,text/enriched,sourcecode,
text/example,text/example,sourcecode,
text/fwdred,text/fwdred,sourcecode,
text/grammar-ref-list,text/grammar-ref-list,sourcecode,
text/javascript,text/javascript,web,
text/jcr-cnd,text/jcr-cnd,sourcecode,
text/mizar,text/mizar,sourcecode,
text/n3,text/n3,sourcecode,
text/parameters,text/parameters,sourcecode,
text/parityfec,text/parityfec,sourcecode,
text/provenance-notation,text/provenance-notation,sourcecode,
text/prs.fallenstein.rst,text/prs.fallenstein.rst,sourcecode,
text/prs.lines.tag,text/prs.lines.tag,sourcecode,
text/raptorfec,text/raptorfec,sourcecode,
text/red,text/red,sourcecode,
text/rfc822-headers,text/rfc822-headers,sourcecode,
text/rtf,text/rtf,sourcecode,
text/rtp-enc-aescm128,text/rtp-enc-aescm128,sourcecode,
text/rtploopback,text/rtploopback,sourcecode,
text/rtx,text/rtx,sourcecode,
text/t140,text/t140,sourcecode,
text/troff,text/troff,sourcecode,
text/turtle,text/turtle,sourcecode,
text/ulpfec,text/ulpfec,sourcecode,
text/uri-list,text/uri-list,sourcecode,
text/vcard,text/vcard,sourcecode,
text/vnd-a,text/vnd-a,sourcecode,
text/vnd-curl,text/vnd-curl,sourcecode,
text/vnd.abc,text/vnd.abc,sourcecode,
text/vnd.curl,text/vnd.curl,sourcecode,
text/vnd.curl.dcurl,text/vnd.curl.dcurl,sourcecode,
text/vnd.curl.mcurl,text/vnd.curl.mcurl,sourcecode,
text/vnd.curl.scurl,text/vnd.curl.scurl,sourcecode,
text/vnd.debian.copyright,text/vnd.debian.copyright,sourcecode,
text/vnd.dmclientscript,text/vnd.dmclientscript,sourcecode,
text/vnd.dvb.subtitle,text/vnd.dvb.subtitle,sourcecode,
text/vnd.esmertec.theme-descriptor,text/vnd.esmertec.theme-descriptor,sourcecode,
text/vnd.fly,text/vnd.fly,sourcecode,
text/vnd.fmi.flexstor,text/vnd.fmi.flexstor,sourcecode,
text/vnd.graphviz,text/vnd.graphviz,sourcecode,
text/vnd.in3d.3dml,text/vnd.in3d.3dml,sourcecode,
